Source: https://www1.eere.energy.gov/water/pdfs/doewater-00662.pdf https://www.osti.gov/biblio/1218138
Note:* Louisiana and Mississippi values were estimated using Arkansas plant factors
# --------------------
State,Abbr,Annual,January,February,March,April,May,June,July,August,September,October,November,December
OHIO,OH,0.4681,0.4524,0.4352,0.4403,0.5141,0.456,0.5008,0.37,0.4338,0.4268,0.4138,0.4465,0.4886
OKLAHOMA,OK,0.4608,0.4242,0.4525,0.597,0.6085,0.5724,0.4486,0.3412,0.2541,0.2685,0.3135,0.4078,0.4585
OREGON,OR,0.5669,0.6551,0.6488,0.6478,0.6274,0.5521,0.4568,0.3105,0.2674,0.2814,0.4533,0.5784,0.6552
PENNSYLVANIA,PA,0.4995,0.5224,0.5609,0.6931,0.7016,0.6572,0.4932,0.3163,0.3004,0.2581,0.2923,0.4727,0.591
RHODE ISLAND,RI,0.3052,0.3785,0.6043,0.6396,0.5104,0.3676,0.1446,0.0397,0.0524,0.0632,0.0644,0.2574,0.4636
SOUTH CAROLINA,SC,0.4601,0.5875,0.62,0.6101,0.5735,0.4981,0.4766,0.4203,0.3973,0.3481,0.3172,0.3078,0.486
SOUTH DAKOTA,SD,0.5064,0.3835,0.3532,0.3836,0.4706,0.524,0.4707,0.3619,0.3545,0.3743,0.457,0.5056,0.3952
TENNESSEE,TN,0.5055,0.6158,0.6057,0.5671,0.4868,0.5232,0.5038,0.4347,0.4574,0.4512,0.4317,0.4553,0.5475
TEXAS,TX,0.5053,0.4803,0.5144,0.5404,0.5441,0.5481,0.6235,0.5176,0.4744,0.4607,0.4309,0.448,0.4316
UTAH,UT,0.5127,0.3949,0.4286,0.4481,0.5577,0.4692,0.457,0.3716,0.329,0.3026,0.2987,0.3444,0.509
VIRGINIA,VA,0.4296,0.4863,0.4953,0.6028,0.6127,0.5181,0.4333,0.2961,0.2629,0.2188,0.3381,0.3831,0.4221
VERMONT,VT,0.4444,0.5015,0.4974,0.5767,0.578,0.4811,0.4658,0.2692,0.2867,0.2931,0.2628,0.4105,0.5667
WASHINGTON,WA,0.5699,0.522,0.4993,0.5597,0.7428,0.6875,0.5581,0.4084,0.4007,0.392,0.4007,0.4296,0.6066
WISCONSIN,WI,0.5559,0.4936,0.4944,0.5597,0.7286,0.6675,0.5881,0.4375,0.452,0.4025,0.4526,0.5904,0.5543
WEST VIRGINIA,WV,0.5116,0.4884,0.4694,0.7047,0.7047,0.588,0.5295,0.414,0.3755,0.3761,0.3441,0.4274,0.5054
WYOMING,WY,0.5034,0.4149,0.4053,0.4354,0.5054,0.5789,0.672,0.6361,0.4867,0.3983,0.3997,0.4265,0.4081
